"Note: To obtain data definitions for variables that are included in this file, please select the following "
"         from within the FDIC's Statistics on Depository Institutions (SDI): "

"1. SDI Map, Definitions, and Data Download (top menu bar) "
"2. SDI Map, Definitions (radio button) "
"3. View or print any and all data definitions contained within SDI"


"CERT","DOCKET","RSSDHCR","FED_RSSD","HCTMULT","NAME","CITY","STALP","REPDTE","BKCLASS","INSTCNT","ASSET","FREPO","FREPP","IDOBRMTG","SUBND","EQPP","EQCS","EQSUR","EQUPTOT","SCHA","SCAF","LNLSGR","NTRSMMDA","NTRSOTH","TRN","NTRCDSM","NTRTMLG","UCLOC","UCCOMRES","UCCOMREU","UCSC","UCOTHER","LOCCOM","P9ASSET","NAASSET","NETINC"
"14","14278","1111435","35301","1","State Street Bank and Trust Company","Boston","MA","3/31/2013","SM","1","214099182","8702929","12108338","3422812","1608860","0","29931","10141997","9351980","13593009","103385841","14050727","799921","0","50433729","0","4644700","0","0","0","0","23871839","0","23","0","382056"
"110","9592","1097089","107244","0","Bank of the Ozarks","Little Rock","AR","3/31/2013","NM","1","3948667","0","30714","280756","0","0","58","212257","358908","0","473947","2740110","804667","1171848","276349","415346","332999","26588","672818","0","0","131896","0","1104","133884","21375"
"131","0","3962640","34537","0","Seacoast National Bank","Stuart","FL","3/31/2013","N","1","2200380","0","164638","50000","0","0","56793","282694","-126871","0","649196","1248016","341216","177213","939150","176632","131047","42592","32295","0","0","150391","0","0","35208","2352"
"172","10091","1082777","37435","0","United Bank","Zebulon","GA","3/31/2013","NM","1","1040740","0","0","0","0","0","1028","40000","73864","4000","348502","495763","355353","59369","164009","204272","140310","35656","12201","0","0","12619","0","168","26922","3352"
"258","9364","1249730","317342","0","Stock Yards Bank & Trust Company","Louisville","KY","3/31/2013","NM","1","2115400","1385","87700","43220","0","0","4120","19125","183322","0","361870","1605659","1232711","88937","72966","223777","145540","87920","39226","0","0","266586","1506","2195","20560","7625"
"588","11394","1037003","501105","1","Manufacturers and Traders Trust Company","Buffalo","NY","3/31/2013","SM","1","81888714","703376","1774593","867079","1467099","0","120635","6352986","3918497","959199","4357707","65355232","45220156","5448914","10840631","3267791","899708","5648093","4288305","453426","985","7705208","43388","941381","1068106","282877"
"597","10696","1133594","884303","0","Chemung Canal Trust Company","Elmira","NY","3/31/2013","SM","1","1280655","0","31427","27158","0","0","6472","51297","70300","7626","234671","922219","568997","181421","100436","145203","86889","36201","17059","469","0","131939","0","4634","7258","2401"
"609","10202","2367921","433608","1","Tompkins Trust Company","Ithaca","NY","3/31/2013","NM","1","1603510","1949","131191","30000","0","0","5400","42256","58511","15094","577899","855736","919075","5228","116033","143400","98511","44577","12107","0","0","72123","0","27","9022","5531"
"622","9297","4400336","661308","0","Amalgamated Bank","New York","NY","3/31/2013","NM","1","3584634","0","327145","420000","0","6700","12711","210821","104453","12556","1420191","1870565","1140683","280896","361023","344712","292811","483","54293","0","0","228995","0","0","119489","-2968"
"623","0","1242423","214807","1","Deutsche Bank Trust Company Americas","New York","NY","3/31/2013","SM","1","59036000","12551000","8306000","1268000","0","0","2127000","594000","6039000","0","38000","22255000","6548000","69000","19617000","0","84000","0","186000","956000","0","13044000","0","2000","164000","107000"
"628","0","1039502","852218","1","JPMorgan Chase Bank, National Association","Columbus","OH","3/31/2013","N","1","1948150000","225744000","165662000","133658000","28893000","0","1785000","77582000","70246000","7000","354108000","624532000","623792000","29681000","200061000","17335000","37620000","37563000","4072000","5854000","0","286868000","7256000","13904000","17114000","5248000"
"639","0","3587146","541101","1","The Bank of New York Mellon","New York","NY","3/31/2013","SM","1","277308000","1519000","2250000","3766000","1065000","0","1135000","9791000","8054000","11679000","90658000","30711000","10637000","61000","69942000","1000","39171000","0","113000","0","0","29598000","155000","14000","217000","-505000"
"659","14115","1032464","601416","0","Five Star Bank","Warsaw","NY","3/31/2013","SM","1","2820101","0","39621","100000","0","0","400","129274","117414","17747","853437","1719432","1175490","328747","276981","406257","225841","120301","59507","0","0","252587","0","5","12104","6427"
"660","0","3138267","645317","0","The Adirondack Trust Company","Saratoga Springs","NY","3/31/2013","SM","1","1036612","0","3022","4","0","0","3820","6552","94096","0","288405","516220","611032","33539","56252","134662","79319","32347","31214","3361","0","93493","0","11","6384","1221"
"713","10038","1248153","342410","0","Orrstown Bank","Shippensburg","PA","3/31/2013","SM","1","1196419","0","15244","37128","0","0","564","74136","12120","0","349664","681927","526966","77578","65141","204242","171919","79887","2229","0","0","45559","14","0","14220","2101"
"803","0","1070448","645625","0","Wesbanco Bank, Inc.","Wheeling","WV","3/31/2013","NM","1","6061793","0","141979","62719","0","0","7820","376867","409830","592033","984995","3701561","2469910","658904","245286","795634","837476","262916","244575","174","0","580163","0","4859","42726","16686"
"867","0","1131787","675332","1","SunTrust Bank","Atlanta","GA","3/31/2013","SM","1","167730169","119542","1399326","8570647","1846293","0","21600","13377840","8090211","0","22776986","123911306","89877569","5769179","18979808","10792002","5124448","11592015","1446176","349551","0","40946911","35654","824276","1506971","360839"
"873","14036","1078846","395238","1","Synovus Bank","Columbus","GA","3/31/2013","NM","1","25850564","100163","238223","879500","0","0","68912","3914879","-216437","0","3045791","19463662","13095053","602970","2487932","2678415","1933257","856471","742490","72573","0","3193777","3005","5799","480659","40198"
