"Note: To obtain data definitions for variables that are included in this file, please select the following "
"         from within the FDIC's Statistics on Depository Institutions (SDI): "

"1. SDI Map, Definitions, and Data Download (top menu bar) "
"2. SDI Map, Definitions (radio button) "
"3. View or print any and all data definitions contained within SDI"


"CERT","DOCKET","RSSDHCR","FED_RSSD","HCTMULT","NAME","CITY","STALP","REPDTE","BKCLASS","INSTCNT","ASSET","FREPO","FREPP","IDOBRMTG","SUBND","EQPP","EQCS","EQSUR","EQUPTOT","SCHA","SCAF","LNLSGR","NTRSMMDA","NTRSOTH","TRN","NTRCDSM","NTRTMLG","UCLOC","UCCOMRES","UCCOMREU","UCSC","UCOTHER","LOCCOM","P9ASSET","NAASSET","NETINC"
"14","14278","1111435","35301","1","State Street Bank and Trust Company","Boston","MA","3/31/2009","SM","1","142457847","1290874","11792854","17431138","998520","0","29931","10142355","3996209","16178895","53874003","7754296","1635453","0","12798158","0","11333859","0","0","0","0","49053796","0","200503","0","471710"
"110","9592","1097089","107244","0","Bank of the Ozarks","Little Rock","AR","3/31/2009","NM","1","3144557","0","74239","362303","0","0","58","167327","216322","0","871583","1982747","412315","539621","120818","503189","721230","8090","254557","0","0","54404","0","0","22832","11081"
"131","0","1085013","34537","0","Seacoast National Bank","Stuart","FL","3/31/2009","N","1","2307109","4919","153293","65239","0","0","56793","149313","36090","26655","349181","1640773","877265","102010","152795","352813","352433","54147","31404","0","0","108817","0","4484","109381","-4442"
"258","9364","1249730","317342","0","Stock Yards Bank & Trust Company","Louisville","KY","3/31/2009","NM","1","1625049","2590","49134","95966","10030","0","4120","19125","119243","40","144343","1381580","699238","50259","58093","311635","194040","97200","74852","0","0","149442","1010","1312","4539","5627"
"588","11394","1242601","501105","1","Manufacturers and Traders Trust Company","Buffalo","NY","3/31/2009","SM","1","63558403","154600","3190235","7591218","1918285","0","120635","4892047","2176266","469568","6498049","48088152","25104523","2942912","4821415","4999993","2347345","5127921","2125222","0","0","6625246","26793","142842","1008212","84673"
"609","10202","2367921","433608","1","Tompkins Trust Company","Ithaca","NY","3/31/2009","NM","1","1396641","5000","156549","119100","0","0","5400","37828","42646","41821","487135","766615","603400","1870","111288","182164","98088","36931","6946","0","0","47733","0","226","6591","4974"
"622","9297","3281798","661308","0","Amalgamated Bank","New York","NY","3/31/2009","NM","1","4645872","0","604685","929529","0","14000","7207","102582","105073","36483","1631372","2219415","1082392","278150","318024","756423","339455","9542","57483","0","0","159990","0","2000","59907","2633"
"623","0","1242423","214807","1","Deutsche Bank Trust Company Americas","New York","NY","3/31/2009","SM","1","41700000","5724000","9484000","1720000","0","1500000","2127000","592000","4167000","0","1605000","12284000","5830000","66000","3100000","0","500000","0","92000","408000","0","5810000","0","0","205000","-26000"
"628","0","1039502","852218","1","JPMorgan Chase Bank, National Association","Columbus","OH","3/31/2009","N","1","1688164000","206005000","243439000","131165000","28315000","0","1785000","77450000","51313000","31000","320214000","629603000","396694000","26785000","60207000","62863000","90980000","81278000","3962000","4030000","0","245991000","4686000","14058000","16726000","2503000"
"639","0","3587146","541101","1","The Bank of New York Mellon","New York","NY","3/31/2009","SM","1","163006000","1079000","439000","2288000","3490000","0","1135000","8290000","2555000","6949000","26839000","31311000","10717000","69000","21179000","2000","22287000","0","351000","524000","0","34657000","655000","409000","261000","483000"
"659","14115","1032464","601416","0","Five Star Bank","Warsaw","NY","3/31/2009","SM","1","2022697","74531","56883","5175","0","0","400","114274","65192","60675","553710","1159934","715753","195311","184384","487477","177649","104773","46096","0","0","214559","0","301","12222","3819"
"664","13032","1048997","475215","0","Bank of Smithtown","Smithtown","NY","3/31/2009","NM","1","2171475","11344","0","326480","0","0","139","87592","71892","111","100740","1823185","589367","95919","147321","422944","415569","20722","313187","3707","0","51768","0","3094","5316","4199"
"679","0","1069778","83311","1","PNC Bank, Delaware","Wilmington","DE","3/31/2009","SM","1","3224360","0","130834","24896","50000","0","500","93704","117992","0","330416","2522857","1440299","138303","564477","464096","153209","309600","71150","19382","0","290529","0","27799","64240","5557"
"680","11652","1888193","272218","1","Wilmington Trust Company","Wilmington","DE","3/31/2009","SM","1","9956298","0","818793","411578","0","0","500","201548","687440","160535","643466","8495197","2855001","282914","1245310","2701012","360112","262280","950094","0","0","1349378","3066","27462","196663","23468"
"713","10038","1248153","342410","0","Orrstown Bank","Shippensburg","PA","3/31/2009","SM","1","1082190","16750","55313","132929","0","0","564","39636","63279","0","140448","827738","320385","61826","61797","196665","141523","57210","7056","0","0","81358","0","6506","562","3107"
"803","0","1070448","645625","0","Wesbanco Bank, Inc.","Wheeling","WV","3/31/2009","NM","1","5911226","0","253899","593737","0","0","7820","292101","420636","1450","1410494","3584631","1448161","410522","221114","1406341","719889","197904","141336","0","0","379144","0","5655","55959","6667"
