"Note: To obtain data definitions for variables that are included in this file, please select the following "
"         from within the FDIC's Statistics on Depository Institutions (SDI): "

"1. SDI Map, Definitions, and Data Download (top menu bar) "
"2. SDI Map, Definitions (radio button) "
"3. View or print any and all data definitions contained within SDI"


"CERT","DOCKET","RSSDHCR","FED_RSSD","HCTMULT","NAME","CITY","STALP","REPDTE","BKCLASS","INSTCNT","ASSET","FREPO","FREPP","IDOBRMTG","SUBND","EQPP","EQCS","EQSUR","EQUPTOT","SCHA","SCAF","LNLSGR","NTRSMMDA","NTRSOTH","TRN","NTRCDSM","NTRTMLG","UCLOC","UCCOMRES","UCCOMREU","UCSC","UCOTHER","LOCCOM","P9ASSET","NAASSET","NETINC"
"14","14278","1111435","35301","1","State Street Bank and Trust Company","Boston","MA","3/31/2014","SM","1","252493360","6086960","8970878","3169844","2537071","0","29931","10796581","9197754","18342143","98726250","16166460","975195","0","92131404","0","0","0","105667","0","0","26614547","0","35","0","350714"
"110","9592","1097089","107244","0","Bank of the Ozarks","Little Rock","AR","3/31/2014","NM","1","5023293","0","51140","280885","0","0","58","302171","393085","0","673173","3571991","1142731","1534697","420049","457349","372969","45655","1264075","0","0","148159","0","0","91525","26831"
"131","0","3962640","34537","0","Seacoast National Bank","Stuart","FL","3/31/2014","N","1","2313730","0","181940","50000","0","0","56793","283028","-86050","0","658512","1323494","337408","202171","1018899","149622","111971","41546","40669","0","0","125480","0","0","26220","2534"
"172","10091","1082777","37435","0","United Bank","Zebulon","GA","3/31/2014","NM","1","1029678","4925","0","0","0","0","1028","40000","71794","4000","372875","492138","363671","68839","185961","179367","116543","37032","14872","0","0","33456","0","282","16564","3831"
"258","9364","1249730","317342","0","Stock Yards Bank & Trust Company","Louisville","KY","3/31/2014","NM","1","2349938","2653","71184","43518","0","0","4120","37682","185511","0","440184","1732207","1449795","108550","89959","208539","134974","93740","74620","0","0","276984","433","1800","12742","8349"
"588","11394","1037003","501105","1","Manufacturers and Traders Trust Company","Buffalo","NY","3/31/2014","SM","1","87754113","214066","1630209","2360748","1434104","0","120635","6409504","4587007","3873985","6155782","63644201","49360190","5917882","10937980","2432033","917159","5647507","4329262","580241","0","8372140","39197","592324","952876","236405"
"597","10696","1133594","884303","0","Chemung Canal Trust Company","Elmira","NY","3/31/2014","SM","1","1495760","0","30646","25189","0","0","6472","51419","77211","5304","336733","1024639","753410","198876","107569","149661","86208","38860","10380","730","0","126079","0","8750","8684","2056"
"609","10202","2367921","433608","1","Tompkins Trust Company","Ithaca","NY","3/31/2014","NM","1","1622811","0","101884","25000","0","0","5400","43156","64771","10641","562248","916630","994419","6321","111715","134237","96522","48081","29469","0","0","62477","0","157","7850","5308"
"622","9297","4400336","661308","0","Amalgamated Bank","New York","NY","3/31/2014","NM","1","3768001","0","267145","420000","0","6700","12747","211511","59633","10900","1528204","1917588","1578313","290731","136923","294015","373483","1165","24622","0","0","343875","0","0","78913","1456"
"623","0","1242423","214807","1","Deutsche Bank Trust Company Americas","New York","NY","3/31/2014","SM","1","60464000","12326000","2344000","70000","0","0","2127000","594000","6420000","0","12000","21038000","8849000","386000","31780000","0","76000","124000","246000","710000","0","9595000","3000","7000","148000","97000"
"628","0","1039502","852218","1","JPMorgan Chase Bank, National Association","Columbus","OH","3/31/2014","N","1","1970383000","219526000","131237000","135962000","10386000","0","1785000","90768000","80721000","47271000","283940000","630410000","710317000","34328000","197866000","13196000","52250000","31520000","5095000","8267000","0","365876000","5692000","8456000","12814000","3250000"
"639","0","3587146","541101","1","The Bank of New York Mellon","New York","NY","3/31/2014","SM","1","288176000","4505000","5781000","5928000","1065000","0","1135000","9954000","9148000","18480000","77008000","33479000","12827000","56000","71920000","1000","37611000","0","368000","25000","0","32086000","280000","319000","132000","415000"
"659","14115","1032464","601416","0","Five Star Bank","Warsaw","NY","3/31/2014","SM","1","3014054","0","38046","158700","0","0","400","129274","121753","253576","674650","1849740","1303268","336539","266947","359155","281574","122175","64058","0","0","248467","0","6","16377","7513"
"660","0","3138267","645317","0","The Adirondack Trust Company","Saratoga Springs","NY","3/31/2014","SM","1","1020693","0","3170","0","0","0","3821","6570","100302","0","289824","591480","579265","41152","71534","125474","72616","35975","12221","7426","0","97045","0","0","6564","1323"
"713","10038","1248153","342410","0","Orrstown Bank","Shippensburg","PA","3/31/2014","SM","1","1197602","0","18821","55718","0","0","564","74135","19882","0","431717","675934","540146","82464","65222","178455","137354","88188","8137","0","0","48657","0","497","14606","2205"
"803","0","1070448","645625","0","Wesbanco Bank, Inc.","Wheeling","WV","3/31/2014","NM","1","6226713","0","120492","25811","0","0","7820","376867","431148","597624","949843","3896288","2775036","708981","261330","674424","796886","276876","335694","1671","0","567667","0","1937","36373","16928"
"867","0","1131787","675332","1","SunTrust Bank","Atlanta","GA","3/31/2014","SM","1","175463961","61961","2455502","9709446","1807371","0","21600","13385992","8457626","0","22303698","130627469","102595783","6217178","13364569","9608659","4475164","11124847","1943502","384578","0","39362476","24573","1138904","934961","404276"
