"Note: To obtain data definitions for variables that are included in this file, please select the following "
"         from within the FDIC's Statistics on Depository Institutions (SDI): "

"1. SDI Map, Definitions, and Data Download (top menu bar) "
"2. SDI Map, Definitions (radio button) "
"3. View or print any and all data definitions contained within SDI"


"CERT","DOCKET","RSSDHCR","FED_RSSD","HCTMULT","NAME","CITY","STALP","REPDTE","BKCLASS","INSTCNT","ASSET","FREPO","FREPP","IDOBRMTG","SUBND","EQPP","EQCS","EQSUR","EQUPTOT","SCHA","SCAF","LNLSGR","NTRSMMDA","NTRSOTH","TRN","NTRCDSM","NTRTMLG","UCLOC","UCCOMRES","UCCOMREU","UCSC","UCOTHER","LOCCOM","P9ASSET","NAASSET","NETINC"
"14","14278","1111435","35301","1","State Street Bank and Trust Company","Boston","MA","3/31/2006","SM","1","91926883","494037","14886632","369937","997980","0","29931","995224","5032521","4555130","55145557","8942292","625134","296","973456","389","11444912","0","0","0","0","40334713","0","0","3975","266739"
"110","9592","1097089","107244","0","Bank of the Ozarks","Little Rock","AR","3/31/2006","NM","1","2229396","0","45607","240791","0","0","58","54327","111610","0","597541","1424373","89070","496103","141797","354374","677591","8236","331617","0","0","72217","0","0","3369","9113"
"131","0","1085013","34537","1","First National Bank and Trust Company of the Treasure Coast","Stuart","FL","3/31/2006","N","1","1828515","9300","223901","14324","0","0","44963","28816","71090","145506","350961","1225052","577430","141193","275985","271164","169470","39440","224738","0","0","116786","0","0","240","5112"
"186","10548","2650315","203333","0","FLAG Bank","Atlanta","GA","3/31/2006","NM","1","1750151","8063","1514","130499","0","0","440","176915","47217","0","267132","1275379","463154","101558","257770","235356","319687","4407","304528","3560","0","85467","0","97","6118","5995"
"258","9364","1249730","317342","0","Stock Yards Bank & Trust Company","Louisville","KY","3/31/2006","NM","1","1352619","22078","77734","47238","120","0","4120","19125","109346","3596","164626","1065857","399850","50353","209305","280085","140483","84992","70358","0","0","155973","2418","765","4644","5785"
"588","11394","1242601","501105","1","Manufacturers and Traders Trust Company","Buffalo","NY","3/31/2006","SM","1","54684473","8670","4129696","4563414","1078512","0","120635","4455282","1778646","102395","7424404","40632931","15665756","3025497","4160738","5315368","6387835","4965177","2534190","0","0","7268460","55628","108246","127080","209638"
"609","10202","2367921","433608","1","Tompkins Trust Company","Ithaca","NY","3/31/2006","NM","1","1096436","0","163985","63600","0","0","5400","35936","47357","55219","364707","589366","424312","3320","85766","136338","114852","14823","14114","0","0","34531","0","5","1176","3965"
"622","9297","3281798","661308","0","Amalgamated Bank","New York","NY","3/31/2006","NM","1","4106926","0","1583695","315102","0","15000","6222","70299","69077","17039","2271530","1589748","797637","328910","327858","351716","142564","0","22900","0","0","121550","0","14","9475","3805"
"623","0","1242423","214807","1","Deutsche Bank Trust Company Americas","New York","NY","3/31/2006","SM","1","36034000","4833000","6900000","403000","8000","1500000","2127000","584000","3694000","0","1563000","7563000","5241000","47000","3625000","0","303000","0","343000","1697000","0","4128000","9000","16000","102000","30000"
"628","0","1039502","852218","1","JPMorgan Chase Bank, National Association","Columbus","OH","3/31/2006","N","1","1093394000","246378000","134315000","90745000","18638000","0","1785000","59450000","26160000","72000","55459000","413184000","219447000","43842000","60150000","22453000","71784000","62737000","3676000","4103000","0","197188000","4680000","567000","3174000","2322000"
"639","0","1033470","541101","1","The Bank of New York","New York City","NY","3/31/2006","SM","1","87750000","3270000","948000","1859000","1955000","0","1135000","2107000","5311000","2165000","22631000","33190000","7846000","5833000","7159000","555000","14597000","2304000","426000","421000","0","34845000","1108000","10000","59000","332000"
"659","14115","1032464","601416","0","Five Star Bank","Warsaw","NY","3/31/2006","SM","1","1972302","28270","22236","50375","0","0","400","94274","105577","43036","791069","966104","550264","224312","243833","446983","218594","89258","11432","0","0","140404","0","35","18560","4557"
"679","0","1069778","83311","1","PNC Bank, Delaware","Wilmington","DE","3/31/2006","NM","1","2830372","0","160518","0","50000","0","500","57105","116945","0","497705","2089001","1320728","143397","405461","428047","128192","260403","97761","19059","0","226545","0","924","719","12705"
"680","11652","1888193","272218","1","Wilmington Trust Company","Wilmington","DE","3/31/2006","NM","1","9347053","326364","467566","353398","0","0","500","113816","682971","2196","1484798","6996935","2196914","322404","893884","920499","3209941","319224","1026233","0","0","1246720","1307","9225","39279","39946"
"803","0","1070448","645625","0","Wesbanco Bank, Inc.","Wheeling","WV","3/31/2006","SM","1","4330062","0","230889","575094","53","0","7820","39356","450659","378025","552203","2942535","990131","400368","204462","961298","436486","148868","96663","0","0","281640","0","6501","14129","6781"
