"Note: To obtain data definitions for variables that are included in this file, please select the following "
"         from within the FDIC's Statistics on Depository Institutions (SDI): "

"1. SDI Map, Definitions, and Data Download (top menu bar) "
"2. SDI Map, Definitions (radio button) "
"3. View or print any and all data definitions contained within SDI"


"CERT","DOCKET","RSSDHCR","FED_RSSD","HCTMULT","NAME","CITY","STALP","REPDTE","BKCLASS","INSTCNT","ASSET","FREPO","FREPP","IDOBRMTG","SUBND","EQPP","EQCS","EQSUR","EQUPTOT","SCHA","SCAF","LNLSGR","NTRSMMDA","NTRSOTH","TRN","NTRCDSM","NTRTMLG","UCLOC","UCCOMRES","UCCOMREU","UCSC","UCOTHER","LOCCOM","P9ASSET","NAASSET","NETINC"
"14","14278","1111435","35301","1","State Street Bank and Trust Company","Boston","MA","3/31/2008","SM","1","147472027","18342106","10092760","4218309","998342","0","29931","5615591","5746560","4289472","67686582","14903717","9013283","302707","2190691","94","22074727","0","0","0","0","52133326","0","0","2685","517459"
"110","9592","1097089","107244","0","Bank of the Ozarks","Little Rock","AR","3/31/2008","NM","1","3041220","0","53759","484688","0","0","58","92327","166691","0","792250","1979152","153112","495291","108135","508245","944431","8900","297097","0","0","57651","0","0","13556","8699"
"131","0","1085013","34537","0","Seacoast National Bank","Stuart","FL","3/31/2008","N","1","2391360","35217","96836","65307","0","0","56793","121388","86550","31061","254395","1881857","1030382","105332","180717","341292","288024","64642","131288","0","0","116178","0","276","64730","2375"
"258","9364","1249730","317342","0","Stock Yards Bank & Trust Company","Louisville","KY","3/31/2008","NM","1","1510470","831","100264","112424","60","0","4120","19125","113871","345","109779","1296518","618968","44561","62981","275410","146238","96196","66835","0","0","162539","2285","1084","4035","5220"
"520","16076","1062649","14258","1","The Jackson State Bank","Jackson","WY","3/31/2008","SM","1","1078367","68135","50800","0","0","0","500","15088","76979","0","57475","925860","667241","21155","69071","47168","127403","29592","122199","18576","0","114546","0","0","125","9702"
"588","11394","1242601","501105","1","Manufacturers and Traders Trust Company","Buffalo","NY","3/31/2008","SM","1","65263266","25700","5935957","7569866","2033792","0","120635","4839372","1972412","72981","7840632","49110139","19829076","2882023","3845126","5694977","3696258","5921118","3233657","0","0","7299075","43783","81316","475500","217274"
"609","10202","2367921","433608","1","Tompkins Trust Company","Ithaca","NY","3/31/2008","NM","1","1255969","11702","165770","94100","0","0","5400","37061","36365","40426","428608","653153","518102","3789","107738","157464","101014","35296","9796","0","0","62903","0","38","4908","5231"
"622","9297","3281798","661308","0","Amalgamated Bank","New York","NY","3/31/2008","NM","1","4609336","163000","894408","900000","0","15000","6222","70299","137815","28609","1990813","2188427","1084681","275680","369833","471583","256307","34481","101362","0","0","387813","0","0","38205","-10355"
"623","0","1242423","214807","1","Deutsche Bank Trust Company Americas","New York","NY","3/31/2008","SM","1","38216000","209000","8696000","546000","0","1500000","2127000","588000","4328000","0","1828000","13043000","6232000","45000","2892000","0","368000","0","151000","611000","0","7228000","0","9000","349000","25000"
"628","0","1039502","852218","1","JPMorgan Chase Bank, National Association","Columbus","OH","3/31/2008","N","1","1407568000","286743000","178902000","81707000","26620000","0","1785000","62428000","44661000","42000","94213000","486947000","276842000","10189000","65014000","27020000","108870000","74788000","3694000","4985000","0","310587000","6445000","1022000","6258000","2134000"
"639","0","3587146","541101","1","The Bank of New York","New York City","NY","3/31/2008","SM","1","128342000","14850000","1087000","4200000","2955000","0","1135000","2375000","4971000","1739000","24149000","34834000","4848000","246000","5544000","6000","22329000","108000","349000","545000","0","37704000","835000","326000","264000","308000"
"659","14115","1032464","601416","0","Five Star Bank","Warsaw","NY","3/31/2008","SM","1","1904958","53355","27835","25799","0","0","400","94274","101883","57631","687527","973242","658987","190663","170794","433904","184870","90272","35238","0","0","174295","0","2","7352","4425"
"664","13032","1048997","475215","0","Bank of Smithtown","Smithtown","NY","3/31/2008","NM","1","1280578","12458","0","175000","0","0","119","61306","57677","204","51581","1124033","371029","169766","29936","235837","168380","20390","409878","7756","0","45992","0","1261","351","4061"
"679","0","1069778","83311","1","PNC Bank, Delaware","Wilmington","DE","3/31/2008","SM","1","3279239","0","467049","0","50000","0","500","89532","157333","0","442398","2558077","1284116","131146","424350","477778","160771","312162","82344","20732","0","378053","0","5726","18472","19002"
