"Note: To obtain data definitions for variables that are included in this file, please select the following "
"         from within the FDIC's Statistics on Depository Institutions (SDI): "

"1. SDI Map, Definitions, and Data Download (top menu bar) "
"2. SDI Map, Definitions (radio button) "
"3. View or print any and all data definitions contained within SDI"


"CERT","DOCKET","RSSDHCR","FED_RSSD","HCTMULT","NAME","CITY","STALP","REPDTE","BKCLASS","INSTCNT","ASSET","FREPO","FREPP","IDOBRMTG","SUBND","EQPP","EQCS","EQSUR","EQUPTOT","SCHA","SCAF","LNLSGR","NTRSMMDA","NTRSOTH","TRN","NTRCDSM","NTRTMLG","UCLOC","UCCOMRES","UCCOMREU","UCSC","UCOTHER","LOCCOM","P9ASSET","NAASSET","NETINC"
"14","14278","1111435","35301","1","State Street Bank and Trust Company","Boston","MA","3/31/2007","SM","1","97977953","2406928","13082976","2221514","998161","0","29931","1056636","5841104","4375283","63057447","10155934","472122","256863","351544","207","9882460","0","0","0","0","48149769","0","0","3064","281090"
"110","9592","1097089","107244","0","Bank of the Ozarks","Little Rock","AR","3/31/2007","NM","1","2536277","0","50028","64258","0","0","58","64327","139579","0","584296","1723882","104071","492788","146291","484609","976284","9061","353892","0","0","77873","0","0","4304","8570"
"131","0","1085013","34537","0","Seacoast National Bank","Stuart","FL","3/31/2007","N","1","2397090","1507","218909","14601","0","0","56793","117660","87903","121295","297438","1750956","691898","126573","479687","331739","259693","62045","230386","0","0","140859","0","799","3955","3387"
"258","9364","1249730","317342","0","Stock Yards Bank & Trust Company","Louisville","KY","3/31/2007","NM","1","1407161","28566","75648","77459","90","0","4120","19125","104029","2319","122887","1155647","424210","43950","191343","297532","157989","96588","48860","0","0","209279","2375","443","5497","5728"
"588","11394","1242601","501105","1","Manufacturers and Traders Trust Company","Buffalo","NY","3/31/2007","SM","1","56951159","432895","5173495","4112169","1579707","0","120635","4513819","1805836","65523","6303293","43314684","16421088","2796455","3930414","7969660","2882498","5437788","3023502","0","0","7156024","27205","117654","257675","183452"
"609","10202","2367921","433608","1","Tompkins Trust Company","Ithaca","NY","3/31/2007","NM","1","1182195","27000","228989","44100","0","0","5400","36461","43828","46938","380242","609940","404128","3904","88726","156943","151607","27257","30895","0","0","51441","0","10","4783","3594"
"622","9297","3281798","661308","0","Amalgamated Bank","New York","NY","3/31/2007","NM","1","4582775","81000","1273562","695074","0","15000","6222","70299","138596","19277","2305532","1949470","892414","291292","294996","618255","179297","0","31544","0","0","276508","0","21","8010","3755"
"623","0","1242423","214807","1","Deutsche Bank Trust Company Americas","New York","NY","3/31/2007","SM","1","39010000","1048000","8224000","317000","9000","1500000","2127000","584000","4145000","0","2055000","13813000","5124000","43000","2433000","0","290000","0","143000","1480000","0","5140000","0","2000","287000","99000"
"628","0","1039502","852218","1","JPMorgan Chase Bank, National Association","Columbus","OH","3/31/2007","N","1","1224104000","263985000","212440000","75385000","22556000","0","1785000","60387000","35704000","54000","90993000","415761000","260493000","13253000","62140000","26167000","80493000","73965000","3582000","3592000","0","283707000","5760000","713000","3200000","2966000"
"639","0","1033470","541101","1","The Bank of New York","New York City","NY","3/31/2007","SM","1","83608000","643000","841000","3590000","2255000","0","1135000","2143000","5114000","1572000","20948000","32054000","2393000","235000","5255000","6000","18922000","112000","268000","502000","0","36691000","1068000","22000","18000","300000"
