"Note: To obtain data definitions for variables that are included in this file, please select the following "
"         from within the FDIC's Statistics on Depository Institutions (SDI): "

"1. SDI Map, Definitions, and Data Download (top menu bar) "
"2. SDI Map, Definitions (radio button) "
"3. View or print any and all data definitions contained within SDI"


"CERT","DOCKET","RSSDHCR","FED_RSSD","HCTMULT","NAME","CITY","STALP","REPDTE","BKCLASS","INSTCNT","ASSET","FREPO","FREPP","IDOBRMTG","SUBND","EQPP","EQCS","EQSUR","EQUPTOT","SCHA","SCAF","LNLSGR","NTRSMMDA","NTRSOTH","TRN","NTRCDSM","NTRTMLG","UCLOC","UCCOMRES","UCCOMREU","UCSC","UCOTHER","LOCCOM","P9ASSET","NAASSET","NETINC"
"14","14278","1111435","35301","1","State Street Bank and Trust Company","Boston","MA","3/31/2005","SM","1","88329260","4283317","13287230","419682","398726","0","29931","961842","5136505","1305987","46603601","4814298","804283","20315","2218785","499","10013674","0","0","0","0","34074964","0","0","6385","188692"
"110","9592","1097089","107244","0","Bank of the Ozarks","Little Rock","AR","3/31/2005","NM","1","1791747","0","34120","193262","0","0","58","54327","84098","0","448174","1175683","47143","435068","125938","289151","522198","5080","164916","0","0","17337","0","0","4282","7877"
"131","0","1085013","34537","0","First National Bank and Trust Company of the Treasure Coast","Stuart","FL","3/31/2005","N","1","1730840","102725","95838","39571","0","0","23500","19600","66055","185880","359517","982608","606567","177508","314176","245140","132833","34333","94951","0","0","197632","0","0","1039","3954"
"258","9364","1249730","317342","0","Stock Yards Bank & Trust Company","Louisville","KY","3/31/2005","NM","1","1257473","15487","78372","20744","150","0","4120","19125","103669","4806","147714","1006411","400785","47776","185684","254412","114780","70010","58596","0","0","142748","2715","789","6141","5116"
"588","11394","1242601","501105","1","Manufacturers and Traders Trust Company","Buffalo","NY","3/31/2005","SM","1","53376768","63385","4664007","4455813","1183293","0","120635","4404377","1692526","96957","8085665","38811365","14712610","3338416","6021239","3910480","3961500","4421609","2236282","0","0","7148307","47457","122822","168323","193981"
"609","10202","2367921","433608","1","Tompkins Trust Company","Ithaca","NY","3/31/2005","NM","1","1051161","4563","142832","58600","0","0","5400","35656","43647","50530","337122","574538","438954","3086","69568","119261","119536","21772","9704","0","0","30319","0","6","2324","3589"
"622","9297","3281798","661308","0","Amalgamated Bank","New York","NY","3/31/2005","NM","1","4203744","0","1559845","291090","0","0","6222","70299","82284","23362","2378739","1491942","791289","376918","477245","336855","104655","0","76196","0","0","100510","0","0","2675","7083"
"623","0","1242423","214807","1","Deutsche Bank Trust Company Americas","New York","NY","3/31/2005","SM","1","35234000","11737000","6504000","286000","8000","1500000","2127000","584000","3424000","0","1563000","9523000","5293000","29000","3837000","2000","365000","0","248000","1888000","0","4518000","2000","6000","191000","47000"
"628","0","1039502","852218","1","JPMorgan Chase Bank, National Association","Columbus","OH","3/31/2005","N","1","983049000","172801000","93126000","78207000","17511000","0","1785000","58591000","21214000","101000","60180000","364916000","202215000","45638000","56717000","17267000","56935000","38349000","3996000","3083000","0","207337000","7530000","375000","2943000","1482000"
"639","0","1033470","541101","1","The Bank of New York","New York City","NY","3/31/2005","SM","1","80116000","2344000","856000","1560000","1440000","0","1135000","2088000","4553000","1831000","20202000","31496000","13798000","6373000","6671000","564000","6835000","1983000","386000","440000","0","33779000","1206000","20000","191000","287000"
"679","0","1069778","83311","1","PNC Bank, Delaware","Wilmington","DE","3/31/2005","NM","1","2505637","138115","0","66","50000","0","500","51143","96820","0","521042","1667490","1247582","167056","400409","363219","98180","221543","73411","14474","0","266128","0","756","596","12079"
"680","11652","1888193","272218","1","Wilmington Trust Company","Wilmington","DE","3/31/2005","NM","1","8679767","521683","399283","728670","0","0","500","112358","572940","2816","1491452","6329568","2224789","353944","1059657","741186","2345794","285949","961355","0","0","1232399","2646","2677","41138","36067"
"803","0","1070448","645625","0","Wesbanco Bank, Inc.","Wheeling","WV","3/31/2005","SM","1","4539625","0","195594","737587","52","0","7820","39153","453734","398944","733486","2969627","1143208","385105","183503","966512","392748","145434","120038","0","0","226256","0","8032","8476","11912"
"867","0","1131787","675332","1","SunTrust Bank","Atlanta","GA","3/31/2005","SM","1","136163072","5924686","11962112","14134976","2849494","0","21600","3745215","6640058","0","21024250","96840840","50805975","5721410","10248473","7456849","11729732","11203421","3815530","879439","0","54270245","152210","160321","278376","419865"
"873","14036","1078846","395238","1","Columbus Bank and Trust Company","Columbus","GA","3/31/2005","NM","1","4930317","548478","1000803","86138","0","0","3154","149112","797295","0","357018","2401196","579965","443557","365459","98548","811215","75901","336805","750","0","140152","9038","2133","3291","52710"
"895","10867","1133277","488439","0","Greene County Bank","Greeneville","TN","3/31/2005","NM","1","1318933","41627","15117","93387","0","0","1290","38639","81427","3931","49538","1116683","324562","65465","133411","372560","185023","47833","143419","0","0","89407","0","1225","5208","2937"
"906","0","1231333","75633","1","Harris Trust and Savings Bank","Chicago","IL","3/31/2005","SM","1","22261172","544352","3681003","1535230","200000","5000","101000","649929","890111","0","5917242","12325469","3771835","1522668","3199784","1044776","3554827","1182837","465344","5754","102453","8223652","38671","39649","132907","25148"
