"Note: To obtain data definitions for variables that are included in this file, please select the following "
"         from within the FDIC's Statistics on Depository Institutions (SDI): "

"1. SDI Map, Definitions, and Data Download (top menu bar) "
"2. SDI Map, Definitions (radio button) "
"3. View or print any and all data definitions contained within SDI"


"CERT","DOCKET","RSSDHCR","FED_RSSD","HCTMULT","NAME","CITY","STALP","REPDTE","BKCLASS","INSTCNT","ASSET","FREPO","FREPP","IDOBRMTG","SUBND","EQPP","EQCS","EQSUR","EQUPTOT","SCHA","SCAF","LNLSGR","NTRSMMDA","NTRSOTH","TRN","NTRCDSM","NTRTMLG","UCLOC","UCCOMRES","UCCOMREU","UCSC","UCOTHER","LOCCOM","P9ASSET","NAASSET","NETINC"
"14","14278","1111435","35301","1","State Street Bank and Trust Company","Boston","MA","3/31/2010","SM","1","149611355","1913847","13289451","15949075","1031421","0","29931","10140147","5373666","19830720","72446059","12421718","631410","0","12909771","0","8083664","0","0","0","0","21566105","0","200620","73111","491396"
"110","9592","1097089","107244","0","Bank of the Ozarks","Little Rock","AR","3/31/2010","NM","1","3006857","0","52079","342469","0","0","58","167327","156054","0","521237","2015473","468481","655798","193195","398971","545224","15818","135319","0","0","48399","0","1501","30553","16361"
"131","0","3962640","34537","0","Seacoast National Bank","Stuart","FL","3/31/2010","N","1","2118034","0","100690","50000","0","0","56793","245872","-108358","10229","365986","1376883","902772","104341","141835","306681","308638","48295","10880","0","0","80456","0","163","96321","-1190"
"193","0","1086748","507330","0","The Heritage Bank","Hinesville","GA","3/31/2010","NM","1","1004001","24387","21000","42141","0","0","390","78904","8242","14220","158307","705964","124654","43342","229295","259187","191354","10601","13978","36","0","30213","5848","0","19814","38"
"258","9364","1249730","317342","0","Stock Yards Bank & Trust Company","Louisville","KY","3/31/2010","NM","1","1755375","49181","72591","84671","10000","0","4120","19125","113883","31","161484","1445041","801565","65600","73157","302658","195551","88720","76523","0","0","194053","11523","2006","9546","5383"
"588","11394","1242601","501105","1","Manufacturers and Traders Trust Company","Buffalo","NY","3/31/2010","SM","1","67458977","246800","3365059","5194286","1921106","0","120635","5482122","2973307","1509805","5981905","50675210","30168058","3787008","6184613","5001399","1466019","5715992","1390275","0","0","7009067","68919","203443","1344176","171100"
"597","10696","1133594","884303","0","Chemung Canal Trust Company","Elmira","NY","3/31/2010","SM","1","1004958","0","54950","20000","0","0","6472","19637","62201","10053","266605","586534","353364","135736","65952","188571","90449","30050","6626","252","0","94785","0","141","5911","2024"
"609","10202","2367921","433608","1","Tompkins Trust Company","Ithaca","NY","3/31/2010","NM","1","1536625","20000","208213","104100","0","0","5400","39457","61682","32992","555259","773292","718849","3367","68037","186045","99533","40259","13878","0","0","50082","0","8","11261","5324"
"622","9297","3281798","661308","0","Amalgamated Bank","New York","NY","3/31/2010","NM","1","4659456","100000","540145","794426","0","14000","7207","102582","124282","6499","988000","1943948","1165648","302802","456299","550198","492154","5997","86497","0","0","300687","0","6288","83543","14484"
"623","0","1242423","214807","1","Deutsche Bank Trust Company Americas","New York","NY","3/31/2010","SM","1","45048000","121000","7899000","1811000","0","1500000","2127000","583000","4537000","0","1858000","13486000","11866000","53000","3598000","0","252000","0","63000","397000","0","7576000","0","0","757000","60000"
"628","0","1039502","852218","1","JPMorgan Chase Bank, National Association","Columbus","OH","3/31/2010","N","1","1674523000","231844000","214237000","99121000","28798000","0","1785000","76764000","48821000","23000","335692000","567058000","442056000","19570000","74083000","36649000","64084000","56485000","1570000","3720000","0","202871000","5649000","19842000","27224000","2734000"
"639","0","3587146","541101","1","The Bank of New York Mellon","New York","NY","3/31/2010","SM","1","162064000","846000","3011000","1551000","3490000","0","1135000","8536000","4480000","4111000","48709000","22907000","8889000","70000","22491000","2000","23853000","0","194000","6000","0","30093000","830000","330000","392000","425000"
"659","14115","1032464","601416","0","Five Star Bank","Warsaw","NY","3/31/2010","SM","1","2151030","33700","66608","145","0","0","400","129274","75181","34556","648667","1268181","763543","201419","194482","527386","174057","96724","33480","0","0","187139","0","2","7346","5851"
"664","13032","1048997","475215","0","Bank of Smithtown","Smithtown","NY","3/31/2010","NM","1","2427868","0","0","361480","17596","0","170","116233","42526","66","220412","2041477","754397","133522","188334","372514","425110","16294","58613","3249","0","15943","0","2759","200811","-13148"
"680","11652","1888193","272218","1","Wilmington Trust Company","Wilmington","DE","3/31/2010","SM","1","8887768","20095","737813","29049","0","0","500","379344","666230","106224","402473","7740712","3292035","295027","985516","1978761","223522","255604","730982","38","0","1184584","920","27627","427167","-24580"
"713","10038","1248153","342410","0","Orrstown Bank","Shippensburg","PA","3/31/2010","SM","1","1313792","52330","67913","89483","0","0","564","57636","71434","0","251477","898275","394875","62958","85795","175279","299487","55730","16427","0","0","84677","0","8929","23020","3602"
"803","0","1070448","645625","0","Wesbanco Bank, Inc.","Wheeling","WV","3/31/2010","NM","1","5358738","0","181059","422187","0","0","7820","292101","379668","1451","1207134","3447431","1679716","423957","186938","1025620","725901","201664","94529","0","0","353842","0","5202","68439","8622"
"867","0","1131787","675332","1","SunTrust Bank","Atlanta","GA","3/31/2010","SM","1","160993399","1087769","3519001","8414855","3398090","0","21600","12002619","6070580","0","18482364","117526612","75972179","4027338","12294577","16552106","9890734","14804956","1314325","411432","0","42521276","75473","1474734","5344013","-185948"
"873","14036","1078846","395238","1","Columbus Bank and Trust Company","Columbus","GA","3/31/2010","NM","1","7788271","73032","2259653","323107","0","0","3154","163314","532470","0","554493","4256084","2094872","87761","430248","1477633","283682","96443","74908","1311","0","518099","0","5700","218054","11851"
"878","0","3244113","701736","0","The Brand Banking Company","Lawrenceville","GA","3/31/2010","SM","1","1208435","0","21400","55218","0","0","400","29200","55738","0","173434","799769","175185","117180","58375","468198","220909","16891","19822","0","0","29508","0","0","38112","2093"
"895","10867","1133277","488439","0","GreenBank","Greeneville","TN","3/31/2010","NM","1","2566534","1072","23830","171919","0","0","1290","343566","-31435","616","173716","1994629","843350","94098","199808","555888","355414","101853","34698","0","0","100377","0","149","63470","3620"
"913","14033","1199611","210434","1","The Northern Trust Company","Chicago","IL","3/31/2010","SM","1","63109667","240177","4254210","2291316","1325659","0","3563","1155560","3769318","885365","16271153","15575822","7948209","151168","3666979","285661","2520040","1196829","130706","60289","0","21856895","12627","6884","145976","123567"
"916","0","3232688","215130","0","The National Republic Bank of Chicago","Chicago","IL","3/31/2010","N","1","1263669","7655","3000","0","27000","0","6695","18806","89421","0","191622","1038058","880","12269","64800","814260","219124","1489","49357","0","0","1757","0","0","21907","8922"
"953","11653","1201671","811046","1","Bankers Trust Company","Des Moines","IA","3/31/2010","NM","1","2370747","31000","200921","370694","0","6000","38902","74276","95803","0","413388","1704418","772101","36284","292611","279373","181288","28190","70353","0","0","416722","0","29","31795","4035"
"983","0","1199844","60143","1","Comerica Bank","Dallas","TX","3/31/2010","SM","1","56965482","0","481226","7035730","1905816","0","58527","1924326","3762766","0","7318517","40874314","27314743","1266759","3791981","3265833","3478389","1620363","1082873","654638","0","16685196","115498","83416","1145624","72666"
"986","13569","1205688","222147","1","Citizens Bank","Flint","MI","3/31/2010","SM","1","11049897","0","258165","1146530","0","0","353160","582571","-8333","113259","2050682","7529010","2691344","1837607","360149","2751976","961622","436855","58058","0","0","727564","0","2348","501460","-74712"
"1003","0","1201934","542649","0","Chemical Bank","Midland","MI","3/31/2010","SM","1","4284802","0","243965","80000","0","0","5900","191077","262037","124893","565823","2993258","1503146","365201","324949","880365","400929","89338","64041","0","0","298126","0","7207","100998","3386"
"1005","10541","1401118","74140","0","Isabella Bank","Mount Pleasant","MI","3/31/2010","SM","1","1099930","0","58959","109000","0","0","6831","55794","27361","0","275027","729483","82796","268667","48190","234496","186808","22017","1808","0","0","98783","4441","577","8211","2623"
"1020","0","3594612","983448","1","M&I Marshall and Ilsley Bank","Milwaukee","WI","3/31/2010","SM","1","50065908","27057","2031867","3683616","1512923","0","30600","5941517","-1149122","89912","6050023","38276306","21442168","2681405","2113478","7092088","2167890","1652790","649129","22025","0","10235343","34293","4088","1822845","-111580"
"1039","9892","2066868","219343","0","The Bank of Edwardsville","Edwardsville","IL","3/31/2010","NM","1","1388385","0","93481","15000","0","0","5400","16740","103904","3000","514692","744308","275971","310984","120632","263979","171167","61852","39186","551","0","87501","0","3902","6818","1903"
"1040","15512","1491351","773247","1","Midland States Bank","Effingham","IL","3/31/2010","SM","1","1660654","3505","21510","76439","0","0","400","87337","26224","0","344187","1035375","300632","322071","74520","566141","170334","8553","49120","0","0","122933","0","24549","9025","4755"
"1058","0","1094556","657459","0","Midwest BankCentre","Lemay","MO","3/31/2010","SM","1","1091671","0","61190","104000","0","0","12886","5477","93459","0","323564","649552","369858","46803","47628","200706","130543","40768","27613","0","0","64669","0","2598","2210","1698"
