"Note: To obtain data definitions for variables that are included in this file, please select the following "
"         from within the FDIC's Statistics on Depository Institutions (SDI): "

"1. SDI Map, Definitions, and Data Download (top menu bar) "
"2. SDI Map, Definitions (radio button) "
"3. View or print any and all data definitions contained within SDI"


"CERT","DOCKET","RSSDHCR","FED_RSSD","HCTMULT","NAME","CITY","STALP","REPDTE","BKCLASS","INSTCNT","ASSET","FREPO","FREPP","IDOBRMTG","SUBND","EQPP","EQCS","EQSUR","EQUPTOT","SCHA","SCAF","LNLSGR","NTRSMMDA","NTRSOTH","TRN","NTRCDSM","NTRTMLG","UCLOC","UCCOMRES","UCCOMREU","UCSC","UCOTHER","LOCCOM","P9ASSET","NAASSET","NETINC"
"14","14278","1111435","35301","1","State Street Bank and Trust Company","Boston","MA","3/31/2012","SM","1","183994204","7894583","8057621","2611988","1611531","0","29931","10112758","8761682","8667845","104277421","12354268","1752530","0","36022288","0","1872291","0","0","0","0","24239437","0","0","4991","402103"
"110","9592","1097089","107244","0","Bank of the Ozarks","Little Rock","AR","3/31/2012","NM","1","3825279","0","43686","280786","0","0","58","176182","306981","0","416357","2640049","752367","1081109","243337","480761","378249","19673","328180","0","0","84306","0","0","178203","18752"
"131","0","3962640","34537","0","Seacoast National Bank","Stuart","FL","3/31/2012","N","1","2167409","0","152567","50000","0","0","56793","282024","-126044","18802","574615","1224606","330408","148068","838123","231698","196040","41719","20878","0","0","116247","0","29","41716","1307"
"172","10091","1082777","37435","0","United Bank","Zebulon","GA","3/31/2012","NM","1","1051644","0","0","0","0","0","1028","40000","64821","4000","309335","514981","344127","53801","146503","226318","172428","34825","9416","0","0","11637","0","1804","27040","3881"
"258","9364","1249730","317342","0","Stock Yards Bank & Trust Company","Louisville","KY","3/31/2012","NM","1","2032553","1385","80139","91757","0","0","4120","19125","169535","0","347651","1538713","1108281","77760","72132","242235","148370","80760","37786","0","0","216968","1493","4005","19232","6813"
"588","11394","1037003","501105","1","Manufacturers and Traders Trust Company","Buffalo","NY","3/31/2012","SM","1","78221757","167200","1861977","1290463","1866206","0","120635","6298399","3374943","1000294","5788375","60298140","41323867","4932458","9583133","4425140","1141895","5709984","2875496","0","2305","9685455","54096","904249","1063166","219305"
"597","10696","1133594","884303","0","Chemung Canal Trust Company","Elmira","NY","3/31/2012","SM","1","1251596","0","34998","43227","0","0","6472","51161","66695","7447","258780","803859","497127","203204","77146","164941","98023","34929","9114","121","0","133164","0","8000","8764","3679"
"609","10202","2367921","433608","1","Tompkins Trust Company","Ithaca","NY","3/31/2012","NM","1","1593014","0","165690","65100","0","0","5400","41134","58132","19156","605103","806780","861614","2905","92618","151386","100449","43973","13283","0","0","56870","0","0","12995","5117"
"622","9297","4400336","661308","0","Amalgamated Bank","New York","NY","3/31/2012","NM","1","3899904","0","432145","575000","0","14000","7207","102582","91313","12130","1194878","2072999","1151496","279576","401919","421631","327025","983","29729","0","0","235041","0","0","102384","527"
"623","0","1242423","214807","1","Deutsche Bank Trust Company Americas","New York","NY","3/31/2012","SM","1","39839000","9655000","4315000","264000","0","0","2127000","591000","5720000","0","609000","18584000","5944000","57000","12492000","0","150000","0","324000","883000","0","11864000","2000","0","261000","69000"
"628","0","1039502","852218","1","JPMorgan Chase Bank, National Association","Columbus","OH","3/31/2012","N","1","1842569000","237338000","183733000","94603000","29075000","0","1785000","77278000","54582000","11000","369902000","604968000","601421000","25108000","136014000","22179000","57749000","38827000","2675000","4725000","0","289834000","6142000","12658000","22877000","3213000"
"639","0","3587146","541101","1","The Bank of New York Mellon","New York","NY","3/31/2012","SM","1","229715000","730000","3538000","3138000","3505000","0","1135000","9658000","7788000","4819000","79781000","25172000","10474000","91000","54451000","1000","29902000","0","165000","0","0","26914000","295000","10000","303000","322000"
"659","14115","1032464","601416","0","Five Star Bank","Warsaw","NY","3/31/2012","SM","1","2455319","0","40547","76800","0","0","400","129274","98618","24196","699497","1523081","922957","233257","226998","464363","226031","101485","51909","0","0","216597","0","5","9721","6392"
"713","10038","1248153","342410","0","Orrstown Bank","Shippensburg","PA","3/31/2012","SM","1","1443904","0","33752","68472","0","0","564","74136","41659","0","309086","903014","578119","76049","75164","236796","247754","76331","8438","0","0","70025","0","2","81878","-7881"
"803","0","1070448","645625","0","Wesbanco Bank, Inc.","Wheeling","WV","3/31/2012","NM","1","5579461","0","214885","149968","0","0","7820","295240","397424","577923","1082143","3236052","2080340","536243","297541","776170","784289","216264","139768","205","0","456988","0","3624","53074","12764"
"867","0","1131787","675332","1","SunTrust Bank","Atlanta","GA","3/31/2012","SM","1","172289330","79903","1810506","11479797","1763954","0","21600","13359551","7438315","0","24338948","125310509","88980659","5133962","18450003","13098521","6322226","12499374","1035488","341465","0","40935671","44036","2155186","2707825","253774"
"873","14036","1078846","395238","1","Synovus Bank","Columbus","GA","3/31/2012","NM","1","26796938","99606","315855","898840","0","0","68912","3908461","-948418","0","3710251","19856820","13408131","557524","2415542","3098077","2388074","910579","438304","38433","0","2468140","0","8387","814866","51910"
